,Shot Number,Beam,Latitude,Longitude,Tandem-X DEM,Elevation (m),Canopy Elevation (m),Canopy Height (rh100),RH 98,RH 25,Quality Flag,Degrade Flag,Sensitivity
2690,4.1260803400037816e+16,BEAM1000,-8.143737465902579,115.06202431024052,55.32522201538086,49.9731330871582,67.88072967529297,17.899999618530273,15.5,-0.10999999940395355,1.0,0.0,0.9776297807693481
2691,4.1260803600037816e+16,BEAM1000,-8.143318313868814,115.06232792615154,55.04578399658203,49.638980865478516,72.2669906616211,22.6200008392334,20.75,4.639999866485596,1.0,0.0,0.977631151676178
2692,4.1260803800037816e+16,BEAM1000,-8.142899133602088,115.06263154829506,52.16616439819336,49.249176025390625,60.300933837890625,11.050000190734863,8.569999694824219,-0.9300000071525574,1.0,0.0,0.9706717133522034
2693,4.1260804000037816e+16,BEAM1000,-8.142479996029735,115.06293520972652,54.47760772705078,49.17499923706055,57.26713562011719,8.09000015258789,6.03000020980835,-0.8199999928474426,1.0,0.0,0.9717577695846558
2694,4.1260804200037816e+16,BEAM1000,-8.142061080638252,115.06323898930943,56.74055099487305,50.3414192199707,64.20294952392578,13.859999656677246,11.5,-0.7799999713897705,1.0,0.0,0.9635277390480042
2695,4.1260804400037816e+16,BEAM1000,-8.141643192997385,115.06354321986208,56.74055099487305,56.8243522644043,63.19316482543945,6.360000133514404,5.159999847412109,-0.8899999856948853,1.0,0.0,0.958492636680603
2696,4.1260804600037816e+16,BEAM1000,-8.141222964686245,115.06384652834178,55.491722106933594,51.63591384887695,66.88359832763672,15.239999771118164,13.220000267028809,-0.7799999713897705,1.0,0.0,0.9751871228218079
2697,4.126080480003782e+16,BEAM1000,-8.140803424202446,115.0641501586594,55.491722106933594,50.081626892089844,73.08427429199219,23.0,21.1200008392334,0.4399999976158142,1.0,0.0,0.9788597226142883
2698,4.126080500003782e+16,BEAM1000,-8.140384210637002,115.06445396667522,51.03855895996094,50.34977722167969,65.2977523803711,14.9399995803833,12.770000457763672,-0.9700000286102295,1.0,0.0,0.9733443260192871
2699,4.126080520003782e+16,BEAM1000,-8.139965173299574,115.06475789591116,53.18147659301758,51.69721221923828,58.66543960571289,6.960000038146973,4.75,-1.2699999809265137,1.0,0.0,0.9814943671226501
2700,4.126080540003782e+16,BEAM1000,-8.13954596175301,115.06506180669194,54.05746078491211,52.36668014526367,60.496280670166016,8.119999885559082,6.139999866485596,-1.2300000190734863,1.0,0.0,0.9719197750091553
